timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
2887979,288,80,17300,-94,148,-45,24.4359
2909663,312,16,17300,-112,141,-16,24.53
2931349,488,12,17392,-111,182,-39,24.4829
2953034,208,40,17240,-131,141,-25,24.4829
2974719,252,36,17216,-114,176,-44,24.4829
2996403,228,112,17364,-113,167,-47,24.3888
3018090,248,-20,17348,-106,142,-34,24.4829
3039775,212,76,17288,-118,132,-84,24.3888
3061468,220,52,17200,-109,135,-33,24.53
3083165,312,100,17336,-118,127,-43,24.4359
3104852,292,96,17256,-108,119,-36,24.4359
3126537,344,60,17144,-114,139,-44,24.4359
3148222,260,144,17180,-118,169,-55,24.53
3169916,256,76,17248,-127,132,-33,24.4829
3191601,336,-28,17316,-114,172,-77,24.4829
3213286,388,88,17328,-124,178,-18,24.5771
3234971,264,68,17344,-136,134,-34,24.4829
3256657,296,168,17128,-101,136,-53,24.4829
3278345,252,76,17268,-104,153,-27,24.3888
3300029,220,60,17428,-123,133,-37,24.4829
3321716,268,44,17340,-120,137,-18,24.4829
3343417,304,56,17200,-109,181,-48,24.53
3365123,136,84,17340,-121,159,-25,24.4359
3386844,236,116,17428,-105,139,-28,24.3888
3408535,384,-12,17144,-101,153,-43,24.4829
3430219,268,112,17164,-114,164,-36,24.4829
3451923,248,92,17264,-101,144,-85,24.4359
3473622,316,40,17168,-117,141,-61,24.53
3495311,292,-52,17136,-117,151,-13,24.4359
3516997,324,20,17348,-112,151,-32,24.53
3538684,188,-28,17208,-127,107,-39,24.6241
3560369,348,60,17304,-101,141,-65,24.4359
3582056,320,40,17248,-107,170,-36,24.4829
3603740,304,-40,17360,-113,157,-67,24.4829
3625426,276,-36,17236,-115,161,-28,24.3888
3647112,212,84,17292,-100,150,-30,24.4829
3668795,192,104,17288,-105,146,-49,24.4829
3690480,280,4,17128,-140,138,-97,24.4359
3712168,328,-24,17196,-102,161,-66,24.4359
3733851,284,36,17420,-116,154,-71,24.53
3755536,240,128,17272,-112,138,-27,24.53
3777229,324,84,17192,-103,158,-39,24.4359
3798918,196,100,17400,-100,160,-37,24.4829
3820610,348,60,17348,-101,138,-42,24.4829
3842308,352,-16,17200,-98,119,-20,24.4829
3863999,296,96,17360,-130,159,-49,24.3888
3885684,216,64,17396,-121,144,-48,24.4829
3907368,304,104,17248,-123,146,-21,24.53
3929052,276,64,17256,-126,166,-23,24.4359
3950741,148,48,17404,-92,151,-32,24.4359
3972426,324,12,17264,-124,122,-39,24.4359
3994110,236,112,17208,-115,144,-40,24.53
4015795,224,80,17344,-131,131,-43,24.4359
4037481,284,16,17404,-110,141,-40,24.4829
4059176,260,80,17336,-97,144,-72,24.4829
4080870,196,24,17336,-107,134,-45,24.5771
4102560,240,68,17304,-121,139,-51,24.4829
4124252,252,64,17336,-123,134,-31,24.5771
4145949,296,140,17344,-104,143,-49,24.4829
4167634,112,96,17436,-118,145,-17,24.53
4189318,356,20,17288,-138,140,-56,24.3418
4211013,252,12,17280,-123,137,-47,24.53
4232701,220,48,17392,-116,148,-16,24.53
4254463,268,64,17212,-120,151,-12,24.3888
4276154,208,52,17308,-115,153,-68,24.4829
4297839,400,72,17316,-130,134,-36,24.4359
4319604,380,44,17396,-105,136,-63,24.4359
4341303,404,-36,17300,-108,152,-52,24.4829
4362999,220,96,17240,-108,159,-45,24.4829
4384704,300,80,17236,-115,142,-14,24.4829
4406396,332,12,17192,-105,148,-52,24.4829
4428094,280,36,17268,-98,166,-74,24.53
4449796,160,56,17336,-118,142,-35,24.4359
4471498,256,36,17128,-107,141,-64,24.53
4493201,364,172,17236,-117,156,-33,24.4359
4514906,172,156,17264,-104,149,-31,24.5771
4536598,180,152,17332,-129,139,-65,24.4829
4558286,216,92,17164,-98,150,-20,24.5771
4579975,132,64,17400,-112,133,-38,24.4829
4601662,244,132,17360,-120,146,-29,24.53
4623347,336,24,17224,-117,132,-34,24.4359
4645033,324,32,17284,-107,159,-62,24.53
4666718,300,72,17396,-117,144,-26,24.4359
4688403,284,148,17288,-119,131,-56,24.4359
4710088,380,36,17152,-117,171,-85,24.4829
4731773,144,36,17348,-98,145,-9,24.4829
4753458,324,132,17308,-104,127,-14,24.3888
4775143,272,100,17204,-97,170,-51,24.4829
4796828,284,96,17252,-115,144,-69,24.4829
4818512,312,104,17368,-119,136,-57,24.3888
4840197,192,48,17268,-91,147,-64,24.5771
4861899,264,100,17336,-132,148,-35,24.4359
4883594,376,84,17172,-110,148,-55,24.4359
4905292,304,68,17028,-125,140,-55,24.4829
4926977,296,28,17340,-110,154,-23,24.3888
4948662,332,12,17296,-102,161,-60,24.4829
4970349,352,56,17188,-127,143,-40,24.4829
4992032,284,44,17312,-99,139,-29,24.3888
5013723,216,68,17420,-135,137,-46,24.3888
5035410,220,16,17280,-119,120,-46,24.53
5057102,228,60,17256,-110,165,-77,24.4359
5078798,276,76,17300,-114,156,-63,24.4359
5100485,344,-8,17320,-115,145,-57,24.53
5122173,288,28,17380,-114,143,-43,24.4829
5143857,128,104,17348,-101,154,-1,24.4829
5165543,244,-28,17112,-99,129,-79,24.4829
5187227,300,96,17168,-113,139,-22,24.4829
5208911,344,36,17228,-109,166,-63,24.5771
5230602,244,112,17380,-100,149,-53,24.4359
5252286,244,16,17232,-100,125,-49,24.53
5273970,324,80,17112,-111,172,-17,24.4359
5295671,200,60,17420,-129,162,-35,24.4359
5317372,360,-24,17172,-125,141,-37,24.4359
5339067,384,92,17184,-102,132,-66,24.4829
5360791,220,52,17304,-125,161,-19,24.5771
5382495,216,40,17352,-102,161,-34,24.53
5404188,264,128,17364,-120,132,-49,24.3418
5425874,196,36,17252,-107,149,-44,24.4359
5447655,276,60,17392,-107,154,-15,24.4829
5469360,280,4,17220,-104,131,-50,24.4829
5491049,368,68,17284,-92,145,-67,24.5771
5512743,180,80,17324,-123,148,-77,24.3888
5534429,392,88,17276,-121,147,-56,24.4359
5556111,276,48,17184,-113,159,-7,24.4359
5577806,264,-36,17340,-101,194,-87,24.4359
5599496,168,12,17164,-108,167,-69,24.4829
5621192,280,188,17220,-126,162,-26,24.4829
5642885,296,68,17192,-120,155,-76,24.4829
5664573,208,16,17312,-103,127,-50,24.4829
5686258,316,60,17224,-118,139,-60,24.3888
5707941,316,92,17340,-101,147,-24,24.4359
5729626,268,92,17328,-101,142,-53,24.4359
5751347,192,16,17288,-108,155,-32,24.4359
5773079,228,84,17288,-113,156,-39,24.4829
5794786,192,108,17368,-98,153,-38,24.4829
5816472,276,36,17276,-112,133,-61,24.4829
5838172,248,-28,17232,-116,180,-45,24.53
5859888,196,52,17392,-96,160,-76,24.53
5881572,344,60,17344,-114,151,-54,24.53
5903255,348,124,17292,-116,144,-60,24.53
5924939,348,80,17164,-115,168,-23,24.4359
5946622,172,-12,17444,-104,127,-45,24.4829
5968308,224,20,17368,-109,130,-37,24.5771
5989995,312,48,17224,-125,144,-40,24.3888
6011680,292,40,17220,-104,170,-31,24.3888
6033364,280,-8,17360,-122,138,-41,24.4829
6055056,264,60,17292,-102,162,-44,24.4359
6076751,220,72,17336,-105,161,-46,24.53
6098439,204,28,17380,-117,160,-42,24.4359
6120125,228,52,17312,-114,142,-50,24.53
6141841,224,-88,17316,-116,156,-53,24.5771
6163601,268,12,17448,-109,138,-30,24.3888
6185329,316,24,17216,-106,147,-43,24.3888
6207030,448,112,17192,-105,152,9,24.4359
6228739,204,72,17296,-123,161,-65,24.3418
6250439,236,-40,17444,-115,145,-64,24.4829
6272163,308,72,17248,-127,144,-25,24.5771
6293869,268,76,17148,-104,181,-58,24.4359
6315555,224,0,17360,-113,103,-41,24.53
6337246,336,132,17332,-111,149,-47,24.4359
6358938,328,60,17308,-120,142,-48,24.53
6380645,300,-4,17340,-104,155,-44,24.4829
6402349,308,16,17148,-115,145,-46,24.4829
6424080,348,96,17316,-97,173,-70,24.3888
6445789,260,84,17300,-126,154,-44,24.4359
6467498,212,120,17292,-102,151,-28,24.4359
6489208,324,44,17140,-103,156,-27,24.4829
6510910,280,180,17384,-104,149,-63,24.4829
6532620,236,96,17236,-122,143,-35,24.3888
